rid	speed	provider	name	when_cash
R2654	weeks	Enmax	Enmax — energy switch incentive	
R4043	weeks	Bkvenergy	Bkvenergy — energy switch incentive	
R4093	weeks	Gexaenergy	Gexaenergy — energy switch incentive	
R5504	weeks	Lakesgas	Lakesgas — energy switch incentive	
R5513	weeks	Cms	Cms — energy switch incentive	
R5512	weeks	Gaultenergy	Gaultenergy — energy switch incentive	
R5501	weeks	Reliant	Reliant — energy switch incentive	
R5511	weeks	Energypluscompany	Energypluscompany — energy switch incentive	
R2662	weeks	Avenirenergy	Avenirenergy — energy switch incentive	
R1876	weeks	Residential	Residential — energy switch incentive	
R1875	weeks	Shopping	Shopping — energy switch incentive	
R1872	weeks	Gexaenergy	Gexaenergy — energy switch incentive	
R1873	weeks	Orderconstellation	Orderconstellation — energy switch incentive	
R1874	weeks	Eflviewer	Eflviewer — energy switch incentive	
R1877	weeks	Bkvenergy	Bkvenergy — energy switch incentive	
R2628	weeks	Cirroenergy	Cirroenergy — energy switch incentive	
R2647	weeks	Santannaenergyservices	Santannaenergyservices — energy switch incentive	
R4080	weeks	Southwestpl	Southwestpl — energy switch incentive	
R5496	weeks	Fuseenergy	Fuseenergy — energy switch incentive	
R5487	weeks	official_url pesenergize.com/referral-program/	official_url pesenergize.com/referral-program/ — energy switch incentive	
R5490	weeks	Verdeenergy	Verdeenergy — energy switch incentive	
R5489	weeks	official_url verdeenergy.com/raf/	official_url verdeenergy.com/raf/ — energy switch incentive	
R5505	weeks	Psipropane	Psipropane — energy switch incentive	
R5506	weeks	Polargas	Polargas — energy switch incentive	
R5492	weeks	Discountpowertx	Discountpowertx — energy switch incentive	
R5498	weeks	Propanect	Propanect — energy switch incentive	
R5500	weeks	Greenmountainenergy	Greenmountainenergy — energy switch incentive	
R5502	weeks	Txu	Txu — energy switch incentive	
R5503	weeks	Roachenergy	Roachenergy — energy switch incentive	
R2627	weeks	Chariotenergy	Chariotenergy — energy switch incentive	
R2625	weeks	Trieagleenergy	Trieagleenergy — energy switch incentive	
R1878	weeks	Sparkenergy	Sparkenergy — energy switch incentive	
R1880	weeks	Amigoenergy	Amigoenergy — energy switch incentive	
R1879	weeks	Sparkenergy	Sparkenergy — energy switch incentive	
R4066	weeks	Directenergy	Directenergy — energy switch incentive	
R1871	weeks	Gotrhythm	Gotrhythm — energy switch incentive	
R4078	weeks	Utilitypipelineltd	Utilitypipelineltd — energy switch incentive	
R4073	weeks	Goodcharlie	Goodcharlie — energy switch incentive	
R5508	weeks	United Propane	United Propane — energy switch incentive	
R4086	weeks	4Changeenergy	4Changeenergy — energy switch incentive	
R2621	weeks	Justenergy	Justenergy — energy switch incentive	
R2645	weeks	Majorenergy	Majorenergy — energy switch incentive	
R4053	weeks	Forwardenergy	Forwardenergy — energy switch incentive	
R5497	weeks	Suburbanpropane	Suburbanpropane — energy switch incentive	
R2622	weeks	Championenergyservices	Championenergyservices — energy switch incentive	
R2623	weeks	4Changeenergy	4Changeenergy — energy switch incentive	
R2626	weeks	Cleanskyenergy	Cleanskyenergy — energy switch incentive	
R2655	weeks	Neccoopenergy	Neccoopenergy — energy switch incentive	
R2656	weeks	Epcor	Epcor — energy switch incentive	
R2657	weeks	Pureskyenergy	Pureskyenergy — energy switch incentive	
R2666	weeks	Picknrg	Picknrg — energy switch incentive	
R5488	weeks	Discountpowertx	Discountpowertx — energy switch incentive	
R5499	weeks	Gng	Gng — energy switch incentive	
R1881	weeks	Amigoenergy	Amigoenergy — energy switch incentive	
R4041	weeks	Yepenergy	Yepenergy — energy switch incentive	
R5494	weeks	Amigoenergy	Amigoenergy — energy switch incentive	
R5495	weeks	Powermepronto	Powermepronto — energy switch incentive	
R5507	weeks	Aapropane	Aapropane — energy switch incentive	
R5509	weeks	Midwesternpropane	Midwesternpropane — energy switch incentive	
R5510	weeks	Scullypropane	Scullypropane — energy switch incentive	
R5516	weeks	Dayandniteoil	Dayandniteoil — energy switch incentive	
R5518	weeks	Oilfast	Oilfast — energy switch incentive	
R5535	weeks	Uw	Uw — energy switch incentive	
R6295	weeks	harborpointep.com	harborpointep.com — energy switch incentive	
R6294	weeks	regionenergy.com	regionenergy.com — energy switch incentive	
R6322	weeks	tevisenergy.com	tevisenergy.com — energy switch incentive	
R6327	weeks	rural-fuels.com	rural-fuels.com — energy switch incentive	
R5515	weeks	Graysheatingoil	Graysheatingoil — energy switch incentive	
R5527	weeks	Eastern	Eastern — energy switch incentive	
R0320	weeks	Cooling Rebate Programs	Search for AC/cooling system rebates	
R6284	weeks	frontierutilities.com	frontierutilities.com — energy switch incentive	
R6319	weeks	amerigas.com	amerigas.com — energy switch incentive	
R6325	weeks	propanedepot.com	propanedepot.com — energy switch incentive	
R0310	weeks	Energy Star Rebates	Search for ENERGY STAR appliance rebates by ZIP code	
R0312	weeks	Utility Rebate Programs	Search local utility for energy efficiency rebates	
R0314	weeks	Water Conservation Incentives	Search for water conservation rebates from local utility	
R0321	weeks	Lighting Rebate Programs	Search for LED lighting rebates from local utility	
R0315	weeks	Smart Thermostat Rebates	Search for smart thermostat rebates from local utility	
R0322	weeks	State Energy Office Programs	Search state energy office for additional incentives	
R0752	weeks	Con Edison	Con Edison — utility/energy rebate	
R0755	weeks	ComEd (Commonwealth Edison)	ComEd (Commonwealth Edison) — utility/energy rebate	
R0316	weeks	Heat Pump Rebates	Search for heat pump installation rebates and tax credits	
R0313	weeks	Local EV Charger Incentives	Search for local EV charger installation rebates	
R5525	weeks	Jcheatingoil	Jcheatingoil — energy switch incentive	
R5524	weeks	Hallpropane	Hallpropane — energy switch incentive	
R5519	weeks	Rhfoster	Rhfoster — energy switch incentive	
R5540	weeks	atcoenergy.com	atcoenergy.com — energy switch incentive	
R5533	weeks	Utilita	Utilita — energy switch incentive	
R5523	weeks	Blueridgeenergy	Blueridgeenergy — energy switch incentive	
R5522	weeks	Hotpropane	Hotpropane — energy switch incentive	
R5526	weeks	Clarkgasandoil	Clarkgasandoil — energy switch incentive	
R5531	weeks	So	So — energy switch incentive	
R5534	weeks	Ecotricity	Ecotricity — energy switch incentive	
R5536	weeks	Britishgas	Britishgas — energy switch incentive	
R6292	weeks	gassouth.com	gassouth.com — energy switch incentive	
R6337	weeks	irvingoil.com	irvingoil.com — energy switch incentive	
R6283	weeks	support.gotrhythm.com	support.gotrhythm.com — energy switch incentive	
R6293	weeks	southfloridagas.com	southfloridagas.com — energy switch incentive	
R6326	weeks	deadriver.com	deadriver.com — energy switch incentive	
R0323	weeks	Low-Income Home Energy Assistance (LIHEAP)	Apply for federal energy assistance if eligible	
R0318	weeks	Insulation Rebates	Search for home insulation rebates from local utility/state	
R0324	weeks	Weatherization Assistance Program	Apply for free home weatherization if income-eligible	
R0753	weeks	ComEd (Commonwealth Edison)	ComEd (Commonwealth Edison) — utility/energy rebate	
R0756	weeks	Residential	Residential — utility/energy rebate	
R5532	weeks	Edfenergy	Edfenergy — energy switch incentive	
R5538	weeks	Aepenergy	Aepenergy — energy switch incentive	
R0754	weeks	ComEd (Commonwealth Edison)	ComEd (Commonwealth Edison) — utility/energy rebate	
R5528	weeks	Scottishpower	Scottishpower — energy switch incentive	
R5529	weeks	Octopus	Octopus — energy switch incentive	
R5530	weeks	Goodenergy	Goodenergy — energy switch incentive	
R6281	weeks	taraenergy.com	taraenergy.com — energy switch incentive	
R5520	weeks	Gvpropane	Gvpropane — energy switch incentive	
R5521	weeks	Parkeroilcompany	Parkeroilcompany — energy switch incentive	
R6285	weeks	veteranenergyusa.com	veteranenergyusa.com — energy switch incentive	
R6321	weeks	ferrellgas.com	ferrellgas.com — energy switch incentive	
R6323	weeks	townoilcompany.com	townoilcompany.com — energy switch incentive	
R6324	weeks	sosxtremecomfort.com	sosxtremecomfort.com — energy switch incentive	
R6336	weeks	irvingoil.com	irvingoil.com — energy switch incentive	
R5514	weeks	Compassenergy	Compassenergy — energy switch incentive	
R5517	weeks	Kanuikoil	Kanuikoil — energy switch incentive	
